user_id time_stamp(seconds) query_length response_length round_index
48335 43203 28 48 0
50820 43203 6 10 0
51355 43203 2 14 0
53216 43203 22 56 0
49099 43207 16 20 0
48688 43208 18 14 0
51500 43209 12 30 0
50655 43210 36 32 0
54247 43210 16 40 0
54197 43213 24 12 0
52341 43214 4 18 0
53977 43214 20 36 0
48920 43215 16 32 0
49093 43216 14 4 0
49887 43216 18 12 0
52355 43216 18 40 0
49696 43217 22 2 0
49856 43219 30 14 0
50417 43219 42 18 0
49516 43221 10 22 0
50820 43221 20 22 1
53016 43222 8 38 0
48353 43224 30 44 0
51085 43224 14 26 0
49979 43225 46 48 0
48266 43227 22 24 0
48119 43228 14 6 0
51355 43229 32 48 1
48248 43231 12 12 0
49099 43231 18 82 1
51026 43231 14 18 0
52341 43231 22 54 1
52978 43231 20 4 0
53337 43231 20 48 0
50097 43232 30 12 0
50417 43233 6 50 1
49836 43234 28 28 0
50343 43234 22 54 0
49516 43236 16 50 1
49856 43238 14 62 1
51500 43238 24 48 1
50469 43239 16 56 0
51325 43240 14 34 0
50586 43241 12 6 0
53675 43241 16 46 0
48335 43243 18 40 1
51783 43243 26 20 0
53368 43244 16 92 0
49181 43245 32 52 0
48197 43246 22 42 0
50820 43247 12 110 2
51858 43247 20 34 0
52978 43247 30 16 1
48266 43249 14 50 1
51520 43250 54 26 0
54156 43250 16 24 0
54197 43251 88 6 1
49067 43252 24 38 0
51085 43252 28 24 1
54011 43252 22 36 0
48593 43254 12 8 0
48920 43255 50 66 1
53977 43255 40 58 1
49822 43256 18 24 0
51958 43256 22 18 0
48248 43257 24 48 1
50133 43258 32 2 0
48275 43259 22 38 0
48353 43259 18 32 1
49573 43260 28 20 0
52486 43260 34 40 0
50142 43261 24 12 0
51026 43261 30 70 1
49979 43262 16 36 1
50655 43263 56 44 1
48557 43264 10 2 0
50131 43264 12 60 0
53137 43264 12 24 0
51783 43266 18 60 1
51858 43267 18 56 1
53503 43267 34 58 0
52940 43268 22 50 0
52978 43268 14 88 2
48593 43269 2 26 1
48189 43270 98 38 0
49836 43270 42 36 1
54247 43270 46 62 1
54312 43271 22 24 0
49887 43272 96 52 1
49187 43273 14 26 0
52375 43273 16 38 0
53129 43273 38 42 0
49822 43274 4 36 1
50142 43274 8 34 1
51520 43274 22 58 1
48688 43277 90 2 1
49033 43277 12 28 0
51958 43277 18 48 1
49181 43278 8 14 1
50417 43278 20 22 2
50850 43278 8 8 0
52819 43280 14 18 0
48840 43281 16 40 0
50010 43281 30 40 0
51085 43281 32 26 2
51325 43281 54 74 1
49516 43282 24 128 2
53410 43283 24 8 0
48196 43284 18 40 0
48366 43284 20 36 0
51009 43284 94 34 0
48266 43285 28 78 2
49067 43285 30 50 1
